75.8441,3.83E+11
75.537,5.16E+11
92.1865,2.19E+12
74.85,1.26E+12
70.1179,2.46E+11
107.359,5.57E+11
58.888,5.19E+11
82.28,6.89E+11
95.8787,8.09E+11
93.2734,9.13E+11
57.2189,4.57E+11
64.5455,3.12E+11
105.4269,6.59E+11
90.4378,9.30E+11
94.9455,3.20E+11
60.0969,6.66E+11
93.0542,5.94E+11
88.2016,5.60E+11
46.4414,4.80E+11
95.1441,2.29E+11
49.936,3.16E+11
33.0327,2.81E+11
34.3983,2.92E+11
45.0098,2.28E+11
32.9065,1.58E+11
33.1614,2.12E+11
52.5711,2.11E+11
25.8751,1.56E+11
41.6279,1.12E+11
40.058,1.72E+11
48.5543,1.86E+11
43.0725,9.33E+11
24.133,1.23E+11
28.7729,2.76E+11
52.9675,1.44E+11
41.9871,8.04E+10
46.8594,7.85E+10
28.6608,1.11E+11
44.1217,7.33E+10
19.803,6.86E+10
49.364,1.11E+11
43.9827,1.98E+10
