257.91,16594,1467,44909,15127
257.77,16576,1469.5,40129,15107
252.18,15868,1635.7,2.06E+05,14233
178.17,7917.5,1526.7,47449,6390.9
192.77,9269.3,1550.7,1.48E+05,7718.6
225.24,12654,1679.6,2.27E+05,10975
224.82,12609,1550.3,1.43E+05,11059
376.5,35368,1938.4,1.98E+05,33429
205.17,10501,1669.7,1.84E+05,8831.4
263.03,17261,1571.7,1.33E+05,15689
270.03,18192,1371.7,2.68E+05,16821
226.49,12797,1629.2,1.34E+05,11168
276.09,19019,1381.3,2.60E+05,17637
226.55,12805,1628.7,1.41E+05,11176
221.45,12235,1579.8,1.12E+05,10655
384.95,36977,1910.7,2.63E+05,35066
264.17,17408,1781.2,87774,15627
176.57,7776.9,1521.2,78973,6255.7
373.89,34878,1638.1,3.23E+05,33240
372.43,34608,1640.5,3.21E+05,32968
204.6,10442,1504.6,2.13E+05,8937
209.57,10954,1543.5,88626,9410
