409.53,41853,1859.1,2.8001e+05,39994
253.25,15998,1360.5,39653,14638
266.88,17767,1664.4,1.5574e+05,16102
368.88,33953,1611.4,1.0846e+05,32342
379.03,35850,1590.6,80773,34259
177.32,7843.4,1479.9,1.8866e+05,6363.5
173.2,7482.9,1506.1,1.6314e+05,5976.8
178.54,7952.2,1599.1,1.6156e+05,6353.1
174.57,7602.1,1574.2,1.8237e+05,6028
229.91,13186,1609.3,3.0872e+05,11577
362.57,32806,1621.5,2.1262e+05,31185
362.25,32751,1619.7,2.1864e+05,31132
209.77,10977,1516.2,78383,9461.3
293.87,21548,1966.4,2.5852e+05,19582
280.45,19626,1706,1.3152e+05,17920
264.99,17520,1833.1,1.8981e+05,15687
294.59,21654,1830.2,1.7292e+05,19824
470.16,55190,3838.8,49307,51351
471.95,55610,3857.1,48688,51753
466.43,54319,3866.4,55943,50453
470.35,55234,3879.6,51709,51355
467.83,54646,3874,53271,50772
463.25,53582,4885.9,58032,48696
7.1545e+08,1.2789e+17,7288.7,3.2129e+05,1.2789e+17
472.09,55644,3869,51190,51775
