6.32,4.3173,3.1155,3.0738,2.0872,1.9757,1.7203,1.6655,1.4612,1.1661,1
3.8808,1.9333,1.5039,1.102,1.0819,0.9219,0.73677,0.69738,0.6198,0.50853,1
10.937,2.6114,2.4571,1.9496,1.7201,1.5244,1.2917,1.1367,0.93937,0.8827,1
1.5809,1.3276,1.1285,1.0261,0.87196,0.80572,0.75021,0.64559,0.58793,0.54945,1
2.965,1.5073,0.49203,0.39541,0.3315,0.31128,0.2498,0.2108,0.20529,0.16627,1
16.754,13.695,12.229,9.6305,7.9726,7.281,6.7548,6.0581,5.6077,5.1779,1
1.0059,0.61917,0.47631,0.40383,0.32589,0.29818,0.27757,0.23193,0.20778,0.19262,1
5.6054,4.5988,4.321,3.6087,3.0563,2.6207,2.3232,2.0027,1.9419,1.7267,1
2.8816,2.609,2.1985,1.7647,1.6283,1.5727,1.479,1.2372,1.0773,1.0341,1
28.746,4.3268,4.1068,3.9618,2.8012,2.6957,2.4995,2.0762,1.8496,1.7337,1
